Team;Driver;Compound;LapTime;Year;GP
Alfa Romeo;BOT;MEDIUM;0 days 00:01:17.190818181;2023;Canadian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:32.673707317;2023;Miami Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:47.452947368;2023;Azerbaijan Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:48.544476190;2023;Azerbaijan Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:23.234162790;2023;Australian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:23.417097560;2023;Australian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:35.371540540;2023;Saudi Arabian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:35.602000;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:35.600846153;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:36.631529411;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:33.910461538;2023;Miami Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:36.209833333;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:39.183666666;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:38.239157894;2023;Bahrain Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:39.210222222;2023;Bahrain Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:40.017166666;2023;Bahrain Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:38.374902439;2023;Bahrain Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:39.058346153;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:39.089750;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:34.954956521;2022;Saudi Arabian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:36.980416666;2022;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:39.163962962;2022;Bahrain Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:23.718750;2022;Australian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:33.868310344;2023;Miami Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:19.302755102;2023;Monaco Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:25.044962264;2023;Hungarian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:25.900200;2023;Hungarian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:24.721574074;2023;Hungarian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:32.474928571;2023;British Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:34.299363636;2023;British Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:32.887666666;2023;British Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:32.303142857;2023;British Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:34.054482758;2023;British Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:11.358000;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:32.123480;2023;Miami Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:10.711437500;2023;Austrian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:10.572750;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:18.956857142;2023;Canadian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:17.946918367;2023;Canadian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:17.360772727;2022;Dutch Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:18.379400;2023;Canadian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:21.159250;2023;Spanish Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:19.919673076;2023;Spanish Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:20.406488372;2023;Spanish Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:18.799590909;2023;Monaco Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:10.571625;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:25.937666666;2023;Hungarian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:16.876606060;2022;São Paulo Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:16.756121212;2022;São Paulo Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:52.863083333;2022;Singapore Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:18.644977272;2022;Canadian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:19.356428571;2022;Canadian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:10.952180;2022;Austrian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:11.924000;2022;Austrian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:11.862000;2022;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:10.590138888;2022;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:27.685000;2022;Italian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:27.125037037;2022;Italian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:17.535000;2022;Canadian Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:26.213300;2022;Italian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:40.593379310;2022;French Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:38.549428571;2022;French Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:40.369354838;2022;French Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:40.990666666;2022;French Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:25.221944444;2022;Hungarian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:25.876347826;2022;Hungarian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:22.606461538;2022;Hungarian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:55.436600;2022;Belgian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:54.024533333;2022;Belgian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:27.937437500;2022;Italian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:17.521947368;2022;São Paulo Grand Prix
Alfa Romeo;BOT;INTERMEDIATE;0 days 00:01:50.145500;2022;Japanese Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:19.184142857;2022;Canadian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:16.716368421;2022;São Paulo Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:25.321500;2022;Australian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:24.049518518;2022;Australian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:25.374500;2022;Australian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:21.444439024;2022;Emilia Romagna Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:22.064864864;2022;Emilia Romagna Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:33.947565217;2022;Miami Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:35.098875;2022;Miami Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:23.935695652;2022;Mexico City Grand Prix
Alfa Romeo;ZHO;INTERMEDIATE;0 days 00:01:48.511562500;2022;Japanese Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:24.925525;2022;Mexico City Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:24.147807692;2022;Mexico City Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:28.407276595;2022;Spanish Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:29.184750;2022;Spanish Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:18.485250;2022;Monaco Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:19.294500;2022;Monaco Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:51.206379310;2022;Azerbaijan Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:44.825428571;2022;United States Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:43.703171428;2022;United States Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:48.803437500;2022;Azerbaijan Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:24.480432432;2022;Mexico City Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:52.718241379;2023;Belgian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:17.192454545;2022;Dutch Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:52.357421052;2023;Belgian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:43.686200;2023;United States Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:42.883119047;2023;United States Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:43.896833333;2023;United States Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:17.443360;2023;Dutch Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:40.104375;2023;Japanese Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:38.366590909;2023;Japanese Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:27.659687500;2023;Qatar Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:40.582375;2023;Singapore Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:40.906903225;2023;Singapore Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:16.247000;2023;Dutch Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:40.143285714;2023;Las Vegas Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:40.613722222;2023;Las Vegas Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:41.169785714;2023;Las Vegas Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:30.066000;2023;Qatar Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:27.792533333;2023;Qatar Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:42.787813953;2023;United States Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:27.816130434;2023;Italian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:26.800043478;2023;Italian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:26.938600;2023;Italian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:27.290450;2023;Italian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:30.004333333;2023;Qatar Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:38.760045454;2023;Las Vegas Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:53.605625;2023;Belgian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:26.688000;2023;Qatar Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:26.623714285;2019;Italian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:26.284388888;2019;Italian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:23.745166666;2020;Portuguese Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:25.152384615;2019;Italian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:22.395764705;2020;Portuguese Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:22.699942857;2020;Portuguese Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:23.975250;2020;Portuguese Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:44.323111111;2019;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:43.865419354;2019;Abu Dhabi Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:15.186428571;2021;São Paulo Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:15.083296296;2021;São Paulo Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:15.018263157;2021;São Paulo Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:46.840846153;2019;Singapore Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:49.051956521;2019;Singapore Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:13.835411764;2021;São Paulo Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:28.588789473;2021;Qatar Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:27.948142857;2021;Qatar Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:33.811583333;2021;Saudi Arabian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:18.719800;2020;Emilia Romagna Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:19.688388888;2020;Emilia Romagna Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:19.589157894;2020;Emilia Romagna Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:35.721000;2021;Saudi Arabian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:35.393166666;2021;Saudi Arabian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:34.590590909;2021;Saudi Arabian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:45.424900;2019;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:31.810400;2020;Eifel Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:25.381000;2019;Italian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:46.218000;2019;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:45.653200;2019;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:32.981304347;2020;Eifel Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:43.150333333;2020;Russian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:40.169600;2020;Russian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:22.807526315;2020;Spanish Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:23.417000;2020;Spanish Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:22.950588235;2020;Spanish Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:23.614000;2020;Spanish Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:09.956466666;2020;Styrian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:08.941173913;2020;Styrian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:09.816071428;2020;Styrian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:08.923680;2020;Styrian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:50.823766666;2020;Belgian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:32.811826086;2020;70th Anniversary Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:32.927250;2019;British Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:31.130857142;2019;British Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:32.758722222;2020;70th Anniversary Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:33.617500;2020;70th Anniversary Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:31.326000;2020;British Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:32.281250;2020;British Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:31.756312500;2020;British Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:20.939703703;2020;Hungarian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:33.909000;2020;70th Anniversary Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:32.383906250;2020;Eifel Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:52.621625;2020;Belgian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:26.825944444;2020;Italian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:42.109880;2020;Russian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:49.982818181;2019;Belgian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:52.515217391;2019;Belgian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:22.608954545;2021;Mexico City Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:41.113666666;2020;Russian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:21.848833333;2020;Tuscan Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:23.762300;2020;Tuscan Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:09.987000;2020;Austrian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:27.887000;2020;Italian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:11.273214285;2020;Austrian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:21.736218750;2019;Hungarian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:09.819000;2020;Austrian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:25.871000;2020;Italian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:26.442750;2020;Italian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:27.134000;2020;Italian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:25.345695652;2020;Italian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:18.927846153;2019;German Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:18.538384615;2019;German Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:21.864000;2020;Hungarian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:21.379472222;2021;Mexico City Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:43.311000;2021;United States Grand Prix
Alfa Romeo Racing;RAI;INTERMEDIATE;0 days 00:01:42.131937500;2020;Turkish Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:46.651000;2021;Azerbaijan Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:47.177360;2021;Azerbaijan Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:49.354900;2021;Azerbaijan Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:46.426000;2021;Azerbaijan Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:41.338125;2021;French Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:45.767500;2020;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:43.905926829;2020;Abu Dhabi Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:45.868428571;2020;Abu Dhabi Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:47.733388888;2021;Azerbaijan Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:39.494869565;2021;French Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:39.133388888;2021;French Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:23.389647058;2019;Mexican Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:21.998270833;2019;Mexican Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:10.387418604;2021;Styrian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:11.573666666;2021;Styrian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:11.286000;2021;Styrian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:09.929290322;2021;Styrian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:09.686175;2021;Austrian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:41.354137931;2021;French Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:17.127551724;2021;Monaco Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:16.281833333;2021;Monaco Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:14.537678571;2019;Brazilian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:20.211500;2021;Emilia Romagna Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:20.352740740;2021;Emilia Romagna Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:22.980452380;2021;Portuguese Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:24.101076923;2021;Portuguese Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:23.250550;2021;Spanish Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:23.229210526;2021;Spanish Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:40.889933333;2019;United States Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:41.675100;2019;United States Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:36.459969696;2021;Bahrain Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:37.001714285;2021;Bahrain Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:36.385310344;2021;Bahrain Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:37.143062500;2021;Bahrain Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:40.765071428;2019;United States Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:41.881066666;2019;United States Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:16.690263157;2021;Monaco Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:17.039000;2021;Monaco Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:14.061458333;2019;Brazilian Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:14.601678571;2019;Brazilian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:13.968500;2019;Brazilian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:43.265884615;2020;Abu Dhabi Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:00:58.080000;2020;Sakhir Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:10.467923076;2021;Austrian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:09.575321428;2021;Austrian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:39.694450;2019;Russian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:41.441625;2019;Russian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:39.833800;2019;Russian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:41.840166666;2019;Russian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:42.357354838;2021;Russian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:40.148555555;2021;Russian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:40.988533333;2021;Russian Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:42.506666666;2021;Russian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:00:58.690000;2020;Sakhir Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:36.326058823;2020;Bahrain Grand Prix
Alfa Romeo Racing;GIO;INTERMEDIATE;0 days 00:01:35.199333333;2021;Turkish Grand Prix
Alfa Romeo Racing;RAI;INTERMEDIATE;0 days 00:01:35.120809523;2021;Turkish Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:42.103666666;2021;United States Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:43.933400;2021;United States Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:42.126555555;2021;United States Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:37.002650;2020;Bahrain Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:38.176428571;2020;Bahrain Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:22.170157894;2021;Mexico City Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:36.816645161;2020;Bahrain Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:00:57.862125;2020;Sakhir Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:23.032400;2021;Mexico City Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:00:58.846730769;2020;Sakhir Grand Prix
Alfa Romeo Racing;KUB;HARD;0 days 00:01:27.935000;2021;Italian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:33.327296296;2021;British Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:34.221818181;2021;British Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:33.212966666;2021;British Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:34.495428571;2021;British Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:34.354333333;2019;Japanese Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:01:37.235800;2019;Japanese Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:36.209312500;2019;Japanese Grand Prix
Alfa Romeo Racing;GIO;SOFT;0 days 00:01:33.301500;2019;Japanese Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:37.084000;2019;Japanese Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:36.287880;2019;Japanese Grand Prix
Alfa Romeo Racing;RAI;MEDIUM;0 days 00:00:57.606000;2020;Sakhir Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:23.207500;2021;Hungarian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:23.695285714;2021;Hungarian Grand Prix
Alfa Romeo Racing;RAI;HARD;0 days 00:01:23.297103448;2021;Hungarian Grand Prix
Alfa Romeo Racing;RAI;SOFT;0 days 00:01:21.943071428;2021;Hungarian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:15.609111111;2021;Dutch Grand Prix
Alfa Romeo Racing;KUB;HARD;0 days 00:01:15.817928571;2021;Dutch Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:27.122954545;2021;Italian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:26.875636363;2021;Italian Grand Prix
Alfa Romeo Racing;KUB;MEDIUM;0 days 00:01:27.005500;2021;Italian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:31.028812500;2019;Australian Grand Prix
Alfa Romeo Racing;GIO;HARD;0 days 00:01:20.533500;2020;Hungarian Grand Prix
Alfa Romeo Racing;GIO;MEDIUM;0 days 00:01:47.857714285;2019;Azerbaijan Grand Prix
